             c_cp             | c_estado 
 20482                        | AGU
 20483                        | AGU
 20484                        | AGU
 20485                        | AGU
 20486                        | AGU
 20487                        | AGU
 20488                        | AGU
 20489                        | AGU
 20490                        | AGU
 20491                        | AGU
 20492                        | AGU
 20493                        | AGU
 20494                        | AGU
 20495                        | AGU
 20496                        | AGU
 20497                        | AGU
 20498                        | AGU
 20499                        | AGU
 20500                        | AGU
 20501                        | AGU
 20502                        | AGU
 20503                        | AGU
 20504                        | AGU
 20505                        | AGU
 20506                        | AGU
 20507                        | AGU
 20508                        | AGU
 20509                        | AGU
 20510                        | AGU
 20511                        | AGU
 20512                        | AGU
 20513                        | AGU
 20514                        | AGU
 20515                        | AGU
 20516                        | AGU
 20517                        | AGU
 20518                        | AGU
 20519                        | AGU
 20520                        | AGU
 20521                        | AGU
 20522                        | AGU
 20523                        | AGU
 20524                        | AGU
 20525                        | AGU
 20526                        | AGU
 20527                        | AGU
 20528                        | AGU
 20529                        | AGU
 20530                        | AGU
 20531                        | AGU
 20532                        | AGU
 20533                        | AGU
 20534                        | AGU
 20535                        | AGU
 20536                        | AGU
 20537                        | AGU
 20538                        | AGU
 20539                        | AGU
 20540                        | AGU
 20541                        | AGU
 20542                        | AGU
 20543                        | AGU
 20544                        | AGU
 20545                        | AGU
 20546                        | AGU
 20547                        | AGU
 20548                        | AGU
 20549                        | AGU
 20550                        | AGU
 20551                        | AGU
 20552                        | AGU
 20553                        | AGU
 20554                        | AGU
 20555                        | AGU
 20556                        | AGU
 20557                        | AGU
 20558                        | AGU
 20559                        | AGU
 20560                        | AGU
 20561                        | AGU
 20562                        | AGU
 20563                        | AGU
 20564                        | AGU
 20565                        | AGU
 20566                        | AGU
 20567                        | AGU
 20568                        | AGU
 20569                        | AGU
 20570                        | AGU
 20571                        | AGU
 20572                        | AGU
 20573                        | AGU
 20574                        | AGU
 20575                        | AGU
 20576                        | AGU
 20577                        | AGU
 20578                        | AGU
 20579                        | AGU
 20580                        | AGU
 20581                        | AGU
 20582                        | AGU
 20583                        | AGU
 20584                        | AGU
 20585                        | AGU
 20586                        | AGU
 20587                        | AGU
 20588                        | AGU
 20589                        | AGU
 20590                        | AGU
 20591                        | AGU
 20592                        | AGU
 20593                        | AGU
 20594                        | AGU
 20595                        | AGU
 20596                        | AGU
 20597                        | AGU
 20598                        | AGU
 20599                        | AGU
 20600                        | AGU
 20601                        | AGU
 20602                        | AGU
 20603                        | AGU
 20604                        | AGU
 20605                        | AGU
 20606                        | AGU
 20607                        | AGU
 20608                        | AGU
 20609                        | AGU
 20610                        | AGU
 20611                        | AGU
 20612                        | AGU
 20613                        | AGU
 20614                        | AGU
 20615                        | AGU
 20616                        | AGU
 20617                        | AGU
 20618                        | AGU
 20619                        | AGU
