 c_localidad | c_estado |               descripcion               
          12 | OAX      | San Felipe Jalapa de Díaz
          12 | PUE      | Tepeaca
          12 | SIN      | Villa Unión
          12 | SLP      | Tamasopo
          12 | SON      | Heroica Ciudad de Cananea
          12 | TAB      | Cunduacán
          12 | TAM      | González
          12 | VER      | Orizaba
          12 | ZAC      | Víctor Rosales
          13 | COA      | Francisco I. Madero (Chávez)
          13 | CHH      | Manuel Ojinaga
          13 | CHP      | Mapastepec
          13 | CMX      | Ciudad de México
          13 | GRO      | Cutzamala de Pinzón
          13 | GUA      | Santiago Maravatío
          13 | HID      | Tepeji del Rio
          13 | JAL      | Tuxpan
          13 | MEX      | Tepotzotlán
          13 | MIC      | Paracho de Verduzco
          13 | NAY      | Las Varas
          13 | NLE      | Hualahuises
          13 | OAX      | Bahias de Huatulco
          13 | PUE      | Tecamachalco
          13 | SIN      | Sinaloa de Leyva
          13 | SLP      | Ciudad del Maíz
          13 | SON      | Sonoita
          13 | TAB      | Huimanguillo
          13 | TAM      | Jaumave
          13 | VER      | Papantla de Olarte
          13 | ZAC      | Valparaíso
          14 | COA      | Cuatro Ciénegas de Carranza
          14 | CHH      | Bachíniva
          14 | CHP      | Las Rosas
          14 | CMX      | Ciudad de México
          14 | GRO      | Coyuca de Catalán
          14 | GUA      | Romita
          14 | HID      | Cruz Azul
          14 | JAL      | Tototlán
          14 | MEX      | Tlalnepantla de Baz
          14 | MIC      | Tangancícuaro de Arista
          14 | NAY      | Xalisco
          14 | OAX      | Putla Villa de Guerrero
          14 | PUE      | Zacatlán
          14 | SIN      | Mocorito
          14 | SLP      | Cedral
          14 | SON      | Magdalena de Kino
          14 | TAM      | Ciudad Gustavo Díaz Ordaz
          14 | VER      | Poza Rica de Hidalgo
          14 | ZAC      | Luis Moya
          15 | COA      | Nadadores
          15 | CHH      | Saucillo
          15 | CHP      | Chiapa de Corzo
          15 | CMX      | Ciudad de México
          15 | GRO      | Tierra Colorada
          15 | GUA      | Tarandacuao
          15 | HID      | Tepeapulco
          15 | JAL      | San Diego de Alejandría
          15 | MEX      | Santa Maria Tultepec
          15 | MIC      | Maravatío de Ocampo
          15 | NAY      | San pedro Lagunillas
          15 | NLE      | Cadereyta Jiménez
          15 | OAX      | Cosolapa
          15 | PUE      | Xicotepec
          15 | SIN      | Angostura
          15 | SLP      | Tierra Nueva
          15 | TAM      | Estación Manuel (Úrsulo Galván)
          15 | VER      | San Andrés Tuxtla
          15 | ZAC      | Moyahua de Estrada
          16 | COA      | Ramos Arizpe
          16 | CHP      | Cacahoatán
          16 | CMX      | Ciudad de México
          16 | GRO      | Coyuca de Benítez
          16 | GUA      | Huanímaro
          16 | JAL      | La Resolana
