 c_municipio | c_estado |                    descripcion                    |       inicio        | fin 
 005         | GUA      | Apaseo el Grande                                  | 2022-01-01 00:00:00 | 
 005         | HID      | Ajacuba                                           | 2022-01-01 00:00:00 | 
 005         | JAL      | Amatitán                                          | 2022-01-01 00:00:00 | 
 005         | MEX      | Almoloya de Juárez                                | 2022-01-01 00:00:00 | 
 005         | MIC      | Angangueo                                         | 2022-01-01 00:00:00 | 
 005         | MOR      | Coatlán del Río                                   | 2022-01-01 00:00:00 | 
 005         | NAY      | Huajicori                                         | 2022-01-01 00:00:00 | 
 005         | NLE      | Anáhuac                                           | 2022-01-01 00:00:00 | 
 005         | OAX      | Asunción Ixtaltepec                               | 2022-01-01 00:00:00 | 
 005         | PUE      | Acteopan                                          | 2022-01-01 00:00:00 | 
 005         | QUE      | Colón                                             | 2022-01-01 00:00:00 | 
 005         | ROO      | Benito Juárez                                     | 2022-01-01 00:00:00 | 
 005         | SIN      | Cosalá                                            | 2022-01-01 00:00:00 | 
 005         | SLP      | Cárdenas                                          | 2022-01-01 00:00:00 | 
 005         | SON      | Arivechi                                          | 2022-01-01 00:00:00 | 
 005         | TAB      | Comalcalco                                        | 2022-01-01 00:00:00 | 
 005         | TAM      | Burgos                                            | 2022-01-01 00:00:00 | 
 005         | TLA      | Apizaco                                           | 2022-01-01 00:00:00 | 
 005         | VER      | Acula                                             | 2022-01-01 00:00:00 | 
 005         | YUC      | Bokobá                                            | 2022-01-01 00:00:00 | 
 005         | ZAC      | Calera                                            | 2022-01-01 00:00:00 | 
 006         | AGU      | Pabellón de Arteaga                               | 2022-01-01 00:00:00 | 
 006         | CAM      | Hopelchén                                         | 2022-01-01 00:00:00 | 
 006         | COA      | Castaños                                          | 2022-01-01 00:00:00 | 
 006         | COL      | Ixtlahuacán                                       | 2022-01-01 00:00:00 | 
 006         | CHH      | Bachíniva                                         | 2022-01-01 00:00:00 | 
 006         | CHP      | Amatenango de la Frontera                         | 2022-01-01 00:00:00 | 
 006         | CMX      | Iztacalco                                         | 2022-01-01 00:00:00 | 
 006         | DUR      | General Simón Bolívar                             | 2022-01-01 00:00:00 | 
 006         | GRO      | Apaxtla                                           | 2022-01-01 00:00:00 | 
 006         | GUA      | Atarjea                                           | 2022-01-01 00:00:00 | 
 006         | HID      | Alfajayucan                                       | 2022-01-01 00:00:00 | 
 006         | JAL      | Ameca                                             | 2022-01-01 00:00:00 | 
 006         | MEX      | Almoloya del Río                                  | 2022-01-01 00:00:00 | 
 006         | MIC      | Apatzingán                                        | 2022-01-01 00:00:00 | 
 006         | MOR      | Cuautla                                           | 2022-01-01 00:00:00 | 
 006         | NAY      | Ixtlán del Río                                    | 2022-01-01 00:00:00 | 
 006         | NLE      | Apodaca                                           | 2022-01-01 00:00:00 | 
 006         | OAX      | Asunción Nochixtlán                               | 2022-01-01 00:00:00 | 
 006         | PUE      | Ahuacatlán                                        | 2022-01-01 00:00:00 | 
 006         | QUE      | Corregidora                                       | 2022-01-01 00:00:00 | 
 006         | ROO      | José María Morelos                                | 2022-01-01 00:00:00 | 
 006         | SIN      | Culiacán                                          | 2022-01-01 00:00:00 | 
 006         | SLP      | Catorce                                           | 2022-01-01 00:00:00 | 
 006         | SON      | Arizpe                                            | 2022-01-01 00:00:00 | 
 006         | TAB      | Cunduacán                                         | 2022-01-01 00:00:00 | 
 006         | TAM      | Bustamante                                        | 2022-01-01 00:00:00 | 
 006         | TLA      | Calpulalpan                                       | 2022-01-01 00:00:00 | 
 006         | VER      | Acultzingo                                        | 2022-01-01 00:00:00 | 
 006         | YUC      | Buctzotz                                          | 2022-01-01 00:00:00 | 
 006         | ZAC      | Cañitas de Felipe Pescador                        | 2022-01-01 00:00:00 | 
 007         | AGU      | Rincón de Romos                                   | 2022-01-01 00:00:00 | 
 007         | CAM      | Palizada                                          | 2022-01-01 00:00:00 | 
 007         | COA      | Cuatro Ciénegas                                   | 2022-01-01 00:00:00 | 
 007         | COL      | Manzanillo                                        | 2022-01-01 00:00:00 | 
 007         | CHH      | Balleza                                           | 2022-01-01 00:00:00 | 
 007         | CHP      | Amatenango del Valle                              | 2022-01-01 00:00:00 | 
 007         | CMX      | Iztapalapa                                        | 2022-01-01 00:00:00 | 
 007         | DUR      | Gómez Palacio                                     | 2022-01-01 00:00:00 | 
 007         | GRO      | Arcelia                                           | 2022-01-01 00:00:00 | 
 007         | GUA      | Celaya                                            | 2022-01-01 00:00:00 | 
 007         | HID      | Almoloya                                          | 2022-01-01 00:00:00 | 
 007         | JAL      | San Juanito de Escobedo                           | 2022-01-01 00:00:00 | 
 007         | MEX      | Amanalco                                          | 2022-01-01 00:00:00 | 
 007         | MIC      | Aporo                                             | 2022-01-01 00:00:00 | 
 007         | MOR      | Cuernavaca                                        | 2022-01-01 00:00:00 | 
 007         | NAY      | Jala                                              | 2022-01-01 00:00:00 | 
 007         | NLE      | Aramberri                                         | 2022-01-01 00:00:00 | 
 007         | OAX      | Asunción Ocotlán                                  | 2022-01-01 00:00:00 | 
 007         | PUE      | Ahuatlán                                          | 2022-01-01 00:00:00 | 
 007         | QUE      | Ezequiel Montes                                   | 2022-01-01 00:00:00 | 
 007         | ROO      | Lázaro Cárdenas                                   | 2022-01-01 00:00:00 | 
 007         | SIN      | Choix                                             | 2022-01-01 00:00:00 | 
 007         | SLP      | Cedral                                            | 2022-01-01 00:00:00 | 
 007         | SON      | Atil                                              | 2022-01-01 00:00:00 | 
 007         | TAB      | Emiliano Zapata                                   | 2022-01-01 00:00:00 | 
 007         | TAM      | Camargo                                           | 2022-01-01 00:00:00 | 
 007         | TLA      | El Carmen Tequexquitla                            | 2022-01-01 00:00:00 | 
 007         | VER      | Camarón de Tejeda                                 | 2022-01-01 00:00:00 | 
 007         | YUC      | Cacalchén                                         | 2022-01-01 00:00:00 | 
 007         | ZAC      | Concepción del Oro                                | 2022-01-01 00:00:00 | 
 008         | AGU      | San José de Gracia                                | 2022-01-01 00:00:00 | 
 008         | BCS      | Los Cabos                                         | 2022-01-01 00:00:00 | 
 008         | CAM      | Tenabo                                            | 2022-01-01 00:00:00 | 
 008         | COA      | Escobedo                                          | 2022-01-01 00:00:00 | 
 008         | COL      | Minatitlán                                        | 2022-01-01 00:00:00 | 
 008         | CHH      | Batopilas                                         | 2022-01-01 00:00:00 | 
 008         | CHP      | Angel Albino Corzo                                | 2022-01-01 00:00:00 | 
 008         | CMX      | La Magdalena Contreras                            | 2022-01-01 00:00:00 | 
 008         | DUR      | Guadalupe Victoria                                | 2022-01-01 00:00:00 | 
 008         | GRO      | Atenango del Río                                  | 2022-01-01 00:00:00 | 
 180         | PUE      | Tlahuapan                                         | 2022-01-01 00:00:00 | 
 008         | GUA      | Manuel Doblado                                    | 2022-01-01 00:00:00 | 
 008         | HID      | Apan                                              | 2022-01-01 00:00:00 | 
 008         | JAL      | Arandas                                           | 2022-01-01 00:00:00 | 
 008         | MEX      | Amatepec                                          | 2022-01-01 00:00:00 | 
 008         | MIC      | Aquila                                            | 2022-01-01 00:00:00 | 
 008         | MOR      | Emiliano Zapata                                   | 2022-01-01 00:00:00 | 
 008         | NAY      | Xalisco                                           | 2022-01-01 00:00:00 | 
 008         | NLE      | Bustamante                                        | 2022-01-01 00:00:00 | 
 008         | OAX      | Asunción Tlacolulita                              | 2022-01-01 00:00:00 | 
 008         | PUE      | Ahuazotepec                                       | 2022-01-01 00:00:00 | 
 008         | QUE      | Huimilpan                                         | 2022-01-01 00:00:00 | 
 008         | ROO      | Solidaridad                                       | 2022-01-01 00:00:00 | 
 008         | SIN      | Elota                                             | 2022-01-01 00:00:00 | 
 008         | SLP      | Cerritos                                          | 2022-01-01 00:00:00 | 
 008         | SON      | Bacadéhuachi                                      | 2022-01-01 00:00:00 | 
 008         | TAB      | Huimanguillo                                      | 2022-01-01 00:00:00 | 
 008         | TAM      | Casas                                             | 2022-01-01 00:00:00 | 
 008         | TLA      | Cuapiaxtla                                        | 2022-01-01 00:00:00 | 
 008         | VER      | Alpatláhuac                                       | 2022-01-01 00:00:00 | 
 008         | YUC      | Calotmul                                          | 2022-01-01 00:00:00 | 
 008         | ZAC      | Cuauhtémoc                                        | 2022-01-01 00:00:00 | 
 009         | AGU      | Tepezalá                                          | 2022-01-01 00:00:00 | 
 009         | BCS      | Loreto                                            | 2022-01-01 00:00:00 | 
 009         | CAM      | Escárcega                                         | 2022-01-01 00:00:00 | 
 009         | COA      | Francisco I. Madero                               | 2022-01-01 00:00:00 | 
 009         | COL      | Tecomán                                           | 2022-01-01 00:00:00 | 
 009         | CHH      | Bocoyna                                           | 2022-01-01 00:00:00 | 
 009         | CHP      | Arriaga                                           | 2022-01-01 00:00:00 | 
 009         | CMX      | Milpa Alta                                        | 2022-01-01 00:00:00 | 
 009         | DUR      | Guanaceví                                         | 2022-01-01 00:00:00 | 
 009         | GRO      | Atlamajalcingo del Monte                          | 2022-01-01 00:00:00 | 
 009         | GUA      | Comonfort                                         | 2022-01-01 00:00:00 | 
 009         | HID      | El Arenal                                         | 2022-01-01 00:00:00 | 
 009         | JAL      | El Arenal                                         | 2022-01-01 00:00:00 | 
 009         | MEX      | Amecameca                                         | 2022-01-01 00:00:00 | 
 009         | MIC      | Ario                                              | 2022-01-01 00:00:00 | 
 009         | MOR      | Huitzilac                                         | 2022-01-01 00:00:00 | 
 009         | NAY      | Del Nayar                                         | 2022-01-01 00:00:00 | 
 009         | NLE      | Cadereyta Jiménez                                 | 2022-01-01 00:00:00 | 
 009         | OAX      | Ayotzintepec                                      | 2022-01-01 00:00:00 | 
 009         | PUE      | Ahuehuetitla                                      | 2022-01-01 00:00:00 | 
 009         | QUE      | Jalpan de Serra                                   | 2022-01-01 00:00:00 | 
 009         | ROO      | Tulum                                             | 2022-01-01 00:00:00 | 
 009         | SIN      | Escuinapa                                         | 2022-01-01 00:00:00 | 
 009         | SLP      | Cerro de San Pedro                                | 2022-01-01 00:00:00 | 
 009         | SON      | Bacanora                                          | 2022-01-01 00:00:00 | 
 009         | TAB      | Jalapa                                            | 2022-01-01 00:00:00 | 
 009         | TAM      | Ciudad Madero                                     | 2022-01-01 00:00:00 | 
 009         | TLA      | Cuaxomulco                                        | 2022-01-01 00:00:00 | 
 009         | VER      | Alto Lucero de Gutiérrez Barrios                  | 2022-01-01 00:00:00 | 
 009         | YUC      | Cansahcab                                         | 2022-01-01 00:00:00 | 
 009         | ZAC      | Chalchihuites                                     | 2022-01-01 00:00:00 | 
 010         | AGU      | El Llano                                          | 2022-01-01 00:00:00 | 
 010         | CAM      | Calakmul                                          | 2022-01-01 00:00:00 | 
 010         | COA      | Frontera                                          | 2022-01-01 00:00:00 | 
 010         | COL      | Villa de Álvarez                                  | 2022-01-01 00:00:00 | 
 010         | CHH      | Buenaventura                                      | 2022-01-01 00:00:00 | 
 010         | CHP      | Bejucal de Ocampo                                 | 2022-01-01 00:00:00 | 
 010         | CMX      | Álvaro Obregón                                    | 2022-01-01 00:00:00 | 
 010         | DUR      | Hidalgo                                           | 2022-01-01 00:00:00 | 
 010         | GRO      | Atlixtac                                          | 2022-01-01 00:00:00 | 
 010         | GUA      | Coroneo                                           | 2022-01-01 00:00:00 | 
 010         | HID      | Atitalaquia                                       | 2022-01-01 00:00:00 | 
 010         | JAL      | Atemajac de Brizuela                              | 2022-01-01 00:00:00 | 
 010         | MEX      | Apaxco                                            | 2022-01-01 00:00:00 | 
 010         | MIC      | Arteaga                                           | 2022-01-01 00:00:00 | 
 010         | MOR      | Jantetelco                                        | 2022-01-01 00:00:00 | 
 010         | NAY      | Rosamorada                                        | 2022-01-01 00:00:00 | 
 010         | NLE      | El Carmen                                         | 2022-01-01 00:00:00 | 
 010         | OAX      | El Barrio de la Soledad                           | 2022-01-01 00:00:00 | 
 010         | PUE      | Ajalpan                                           | 2022-01-01 00:00:00 | 
 010         | QUE      | Landa de Matamoros                                | 2022-01-01 00:00:00 | 
 010         | ROO      | Bacalar                                           | 2022-01-01 00:00:00 | 
 010         | SIN      | El Fuerte                                         | 2022-01-01 00:00:00 | 
 010         | SLP      | Ciudad del Maíz                                   | 2022-01-01 00:00:00 | 
 010         | SON      | Bacerac                                           | 2022-01-01 00:00:00 | 
 010         | TAB      | Jalpa de Méndez                                   | 2022-01-01 00:00:00 | 
 010         | TAM      | Cruillas                                          | 2022-01-01 00:00:00 | 
 010         | TLA      | Chiautempan                                       | 2022-01-01 00:00:00 | 
 010         | VER      | Altotonga                                         | 2022-01-01 00:00:00 | 
 010         | YUC      | Cantamayec                                        | 2022-01-01 00:00:00 | 
 010         | ZAC      | Fresnillo                                         | 2022-01-01 00:00:00 | 
 011         | AGU      | San Francisco de los Romo                         | 2022-01-01 00:00:00 | 
 011         | CAM      | Candelaria                                        | 2022-01-01 00:00:00 | 
 011         | COA      | General Cepeda                                    | 2022-01-01 00:00:00 | 
 011         | CHH      | Camargo                                           | 2022-01-01 00:00:00 | 
 011         | CHP      | Bella Vista                                       | 2022-01-01 00:00:00 | 
 011         | CMX      | Tláhuac                                           | 2022-01-01 00:00:00 | 
 011         | DUR      | Indé                                              | 2022-01-01 00:00:00 | 
 011         | GRO      | Atoyac de Álvarez                                 | 2022-01-01 00:00:00 | 
 011         | GUA      | Cortazar                                          | 2022-01-01 00:00:00 | 
 011         | HID      | Atlapexco                                         | 2022-01-01 00:00:00 | 
 011         | JAL      | Atengo                                            | 2022-01-01 00:00:00 | 
 011         | MEX      | Atenco                                            | 2022-01-01 00:00:00 | 
 011         | MIC      | Briseñas                                          | 2022-01-01 00:00:00 | 
 011         | MOR      | Jiutepec                                          | 2022-01-01 00:00:00 | 
 011         | NAY      | Ruíz                                              | 2022-01-01 00:00:00 | 
 011         | NLE      | Cerralvo                                          | 2022-01-01 00:00:00 | 
 011         | OAX      | Calihualá                                         | 2022-01-01 00:00:00 | 
 011         | PUE      | Albino Zertuche                                   | 2022-01-01 00:00:00 | 
 011         | QUE      | El Marqués                                        | 2022-01-01 00:00:00 | 
 011         | ROO      | Puerto Morelos                                    | 2022-01-01 00:00:00 | 
 011         | SIN      | Guasave                                           | 2022-01-01 00:00:00 | 
 011         | SLP      | Ciudad Fernández                                  | 2022-01-01 00:00:00 | 
 011         | SON      | Bacoachi                                          | 2022-01-01 00:00:00 | 
 011         | TAB      | Jonuta                                            | 2022-01-01 00:00:00 | 
 011         | TAM      | Gómez Farías                                      | 2022-01-01 00:00:00 | 
 011         | TLA      | Muñoz de Domingo Arenas                           | 2022-01-01 00:00:00 | 
 011         | VER      | Alvarado                                          | 2022-01-01 00:00:00 | 
 011         | YUC      | Celestún                                          | 2022-01-01 00:00:00 | 
 011         | ZAC      | Trinidad García de la Cadena                      | 2022-01-01 00:00:00 | 
 012         | COA      | Guerrero                                          | 2022-01-01 00:00:00 | 
 012         | CHH      | Carichí                                           | 2022-01-01 00:00:00 | 
 012         | CHP      | Berriozábal                                       | 2022-01-01 00:00:00 | 
 012         | CMX      | Tlalpan                                           | 2022-01-01 00:00:00 | 
 012         | DUR      | Lerdo                                             | 2022-01-01 00:00:00 | 
 012         | GRO      | Ayutla de los Libres                              | 2022-01-01 00:00:00 | 
 012         | GUA      | Cuerámaro                                         | 2022-01-01 00:00:00 | 
 012         | HID      | Atotonilco el Grande                              | 2022-01-01 00:00:00 | 
 012         | JAL      | Atenguillo                                        | 2022-01-01 00:00:00 | 
 012         | MEX      | Atizapán                                          | 2022-01-01 00:00:00 | 
 012         | MIC      | Buenavista                                        | 2022-01-01 00:00:00 | 
 012         | MOR      | Jojutla                                           | 2022-01-01 00:00:00 | 
 012         | NAY      | San Blas                                          | 2022-01-01 00:00:00 | 
 012         | NLE      | Ciénega de Flores                                 | 2022-01-01 00:00:00 | 
 012         | OAX      | Candelaria Loxicha                                | 2022-01-01 00:00:00 | 
 012         | PUE      | Aljojuca                                          | 2022-01-01 00:00:00 | 
 012         | QUE      | Pedro Escobedo                                    | 2022-01-01 00:00:00 | 
 012         | SIN      | Mazatlán                                          | 2022-01-01 00:00:00 | 
 012         | SLP      | Tancanhuitz                                       | 2022-01-01 00:00:00 | 
 012         | SON      | Bácum                                             | 2022-01-01 00:00:00 | 
 012         | TAB      | Macuspana                                         | 2022-01-01 00:00:00 | 
 012         | TAM      | González                                          | 2022-01-01 00:00:00 | 
 012         | TLA      | Españita                                          | 2022-01-01 00:00:00 | 
 012         | VER      | Amatitlán                                         | 2022-01-01 00:00:00 | 
 012         | YUC      | Cenotillo                                         | 2022-01-01 00:00:00 | 
 012         | ZAC      | Genaro Codina                                     | 2022-01-01 00:00:00 | 
 013         | COA      | Hidalgo                                           | 2022-01-01 00:00:00 | 
 013         | CHH      | Casas Grandes                                     | 2022-01-01 00:00:00 | 
 013         | CHP      | Bochil                                            | 2022-01-01 00:00:00 | 
 013         | CMX      | Xochimilco                                        | 2022-01-01 00:00:00 | 
 013         | DUR      | Mapimí                                            | 2022-01-01 00:00:00 | 
 013         | GRO      | Azoyú                                             | 2022-01-01 00:00:00 | 
 013         | GUA      | Doctor Mora                                       | 2022-01-01 00:00:00 | 
 013         | HID      | Atotonilco de Tula                                | 2022-01-01 00:00:00 | 
 013         | JAL      | Atotonilco el Alto                                | 2022-01-01 00:00:00 | 
 013         | MEX      | Atizapán de Zaragoza                              | 2022-01-01 00:00:00 | 
 013         | MIC      | Carácuaro                                         | 2022-01-01 00:00:00 | 
 013         | MOR      | Jonacatepec                                       | 2022-01-01 00:00:00 | 
 013         | NAY      | San Pedro Lagunillas                              | 2022-01-01 00:00:00 | 
 013         | NLE      | China                                             | 2022-01-01 00:00:00 | 
 013         | OAX      | Ciénega de Zimatlán                               | 2022-01-01 00:00:00 | 
 013         | PUE      | Altepexi                                          | 2022-01-01 00:00:00 | 
 013         | QUE      | Peñamiller                                        | 2022-01-01 00:00:00 | 
 013         | SIN      | Mocorito                                          | 2022-01-01 00:00:00 | 
